id_venta,producto,cantidad,precio
1,Laptop,2,2500
2,Mouse,5,50
3,Teclado,3,120
4,Monitor,2,300
5,Auriculares,8,80
6,Laptop,1,2500
7,Mouse,12,50
8,Teclado,6,120
9,Monitor,3,300
10,Auriculares,10,80
11,Tablet,4,450
12,Impresora,2,200
13,Laptop,2,2500
14,Mouse,15,50
15,Teclado,8,120
16,Monitor,1,300
17,Auriculares,5,80
18,Tablet,2,450
19,Impresora,1,200
20,Laptop,1,2500
21,Mouse,10,50
22,Teclado,4,120
23,Monitor,4,300
24,Auriculares,12,80
25,Tablet,3,450
26,Impresora,3,200
27,Celular,2,800
28,Celular,1,800
29,Celular,3,800
30,Laptop,3,2500
